hostname,os,environment,country,node
LSIRL044,Linux,Staging,Ireland,044
APDEU019,AIX,Production,Germany,019
ATDEU018,AIX,Testing,Germany,018
HSDEU003,HP-UX,Staging,Germany,003
LPIRL043,Linux,Production,Ireland,043
LTDEU034,Linux,Testing,Germany,034
SSIRL030,Solaris,Staging,Ireland,030
LPDEU039,Linux,Production,Germany,039
SIESP004,Solaris,Integration,Spain,004
HTIRL013,HP-UX,Testing,Ireland,013
HSDEU004,HP-UX,Staging,Germany,004
SSFRA014,Solaris,Staging,France,014
LSESP038,Linux,Staging,Spain,038
HDIRL005,HP-UX,Development,Ireland,005
SPIRL033,Solaris,Production,Ireland,033
SPIRL034,Solaris,Production,Ireland,034
HSIRL010,HP-UX,Staging,Ireland,010
SPESP019,Solaris,Production,Spain,019
LPITA032,Linux,Production,Italy,032
SDITA007,Solaris,Development,Italy,007
APESP012,AIX,Production,Spain,012
SPITA023,Solaris,Production,Italy,023
STITA019,Solaris,Testing,Italy,019
LPIRL044,Linux,Production,Ireland,044
APIRL035,AIX,Production,Ireland,035
LSDEU027,Linux,Staging,Germany,027
STDEU032,Solaris,Testing,Germany,032
STFRA005,Solaris,Testing,France,005
APIRL036,AIX,Production,Ireland,036
LSITA025,Linux,Staging,Italy,025
HPITA008,HP-UX,Production,Italy,008
LPITA033,Linux,Production,Italy,033
LSIRL045,Linux,Staging,Ireland,045
LTNOR011,Linux,Testing,Norway,011
SPDEU027,Solaris,Production,Germany,027
APNOR009,AIX,Production,Norway,009
ASNOR004,AIX,Staging,Norway,004
ADITA005,AIX,Development,Italy,005
HPITA009,HP-UX,Production,Italy,009
HTESP006,HP-UX,Testing,Spain,006
LSNOR009,Linux,Staging,Norway,009
LTESP031,Linux,Testing,Spain,031
ADITA006,AIX,Development,Italy,006
LDDEU015,Linux,Development,Germany,015
LSFRA006,Linux,Staging,France,006
SPNOR009,Solaris,Production,Norway,009
LTESP032,Linux,Testing,Spain,032
HPDEU007,HP-UX,Production,Germany,007
APIRL037,AIX,Production,Ireland,037
ADNOR001,AIX,Development,Norway,001
ATITA010,AIX,Testing,Italy,010
LDIRL016,Linux,Development,Ireland,016
SDESP007,Solaris,Development,Spain,007
APESP013,AIX,Production,Spain,013
LIESP011,Linux,Integration,Spain,011
LPITA034,Linux,Production,Italy,034
ATIRL025,AIX,Testing,Ireland,025
LDDEU016,Linux,Development,Germany,016
LPESP029,Linux,Production,Spain,029
SPITA024,Solaris,Production,Italy,024
LIESP012,Linux,Integration,Spain,012
LDNOR004,Linux,Development,Norway,004
LINOR004,Linux,Integration,Norway,004
LIIRL013,Linux,Integration,Ireland,013
SIIRL010,Solaris,Integration,Ireland,010
SDIRL014,Solaris,Development,Ireland,014
LPFRA019,Linux,Production,France,019
LSIRL046,Linux,Staging,Ireland,046
LPIRL045,Linux,Production,Ireland,045
LPFRA020,Linux,Production,France,020
HPIRL009,HP-UX,Production,Ireland,009
ASDEU018,AIX,Staging,Germany,018
SSIRL031,Solaris,Staging,Ireland,031
LPESP030,Linux,Production,Spain,030
HDIRL006,HP-UX,Development,Ireland,006
LPIRL046,Linux,Production,Ireland,046
SPDEU028,Solaris,Production,Germany,028
ASIRL020,AIX,Staging,Ireland,020
ASESP012,AIX,Staging,Spain,012
SPESP020,Solaris,Production,Spain,020
ASIRL021,AIX,Staging,Ireland,021
HPDEU008,HP-UX,Production,Germany,008
SSITA015,Solaris,Staging,Italy,015
SSDEU022,Solaris,Staging,Germany,022
LPDEU040,Linux,Production,Germany,040
SPDEU029,Solaris,Production,Germany,029
LDITA009,Linux,Development,Italy,009
HTDEU005,HP-UX,Testing,Germany,005
LPITA035,Linux,Production,Italy,035
LTDEU035,Linux,Testing,Germany,035
ASDEU019,AIX,Staging,Germany,019
SDESP008,Solaris,Development,Spain,008
APIRL038,AIX,Production,Ireland,038
LIIRL014,Linux,Integration,Ireland,014
SSFRA015,Solaris,Staging,France,015
APESP014,AIX,Production,Spain,014
SSDEU023,Solaris,Staging,Germany,023
LPFRA021,Linux,Production,France,021
LTESP033,Linux,Testing,Spain,033
AIIRL012,AIX,Integration,Ireland,012
LTIRL045,Linux,Testing,Ireland,045
LSESP039,Linux,Staging,Spain,039
STIRL030,Solaris,Testing,Ireland,030
LIESP013,Linux,Integration,Spain,013
HPITA010,HP-UX,Production,Italy,010
STITA020,Solaris,Testing,Italy,020
SDITA008,Solaris,Development,Italy,008
LDESP010,Linux,Development,Spain,010
SPFRA010,Solaris,Production,France,010
ATITA011,AIX,Testing,Italy,011
LPDEU041,Linux,Production,Germany,041
SDESP009,Solaris,Development,Spain,009
LSDEU028,Linux,Staging,Germany,028
HTIRL014,HP-UX,Testing,Ireland,014
SDITA009,Solaris,Development,Italy,009
LIFRA006,Linux,Integration,France,006
LDNOR005,Linux,Development,Norway,005
LTESP034,Linux,Testing,Spain,034
SSITA016,Solaris,Staging,Italy,016
SPESP021,Solaris,Production,Spain,021
LIESP014,Linux,Integration,Spain,014
SPIRL035,Solaris,Production,Ireland,035
HSITA009,HP-UX,Staging,Italy,009
LPIRL047,Linux,Production,Ireland,047
SSIRL032,Solaris,Staging,Ireland,032
HSESP007,HP-UX,Staging,Spain,007
LPESP031,Linux,Production,Spain,031
LTIRL046,Linux,Testing,Ireland,046
APITA015,AIX,Production,Italy,015
LTIRL047,Linux,Testing,Ireland,047
LTITA028,Linux,Testing,Italy,028
ATNOR005,AIX,Testing,Norway,005
SPNOR010,Solaris,Production,Norway,010
HSITA010,HP-UX,Staging,Italy,010
SPITA025,Solaris,Production,Italy,025
ADIRL007,AIX,Development,Ireland,007
APIRL039,AIX,Production,Ireland,039
LPITA036,Linux,Production,Italy,036
SSIRL033,Solaris,Staging,Ireland,033
ASIRL022,AIX,Staging,Ireland,022
AIIRL013,AIX,Integration,Ireland,013
LTIRL048,Linux,Testing,Ireland,048
APESP015,AIX,Production,Spain,015
LPFRA022,Linux,Production,France,022
APIRL040,AIX,Production,Ireland,040
LPESP032,Linux,Production,Spain,032
LIIRL015,Linux,Integration,Ireland,015
ATIRL026,AIX,Testing,Ireland,026
HSFRA004,HP-UX,Staging,France,004
STIRL031,Solaris,Testing,Ireland,031
